遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號,猜大小,猜單雙, 
賓果賓果,98000062,2009/01/01,169150,6766,115400,01,14,15,16,25,34,35,37,40,43,48,51,56,61,62,63,65,66,71,78,,,
賓果賓果,98000063,2009/01/01,163425,6537,84500,06,07,13,18,19,21,23,25,31,37,42,49,56,60,61,63,72,73,75,80,,,
賓果賓果,98000064,2009/01/01,171800,6872,137550,01,04,05,06,16,21,26,29,36,39,41,42,51,56,59,66,68,75,76,77,,,
賓果賓果,98000065,2009/01/01,173225,6929,130200,12,14,26,27,29,36,37,39,40,41,42,43,46,49,58,64,65,69,73,77,,,
賓果賓果,98000066,2009/01/01,181375,7255,71775,02,03,18,24,25,29,32,33,38,40,41,42,44,45,46,51,56,60,65,69,,,
賓果賓果,98000067,2009/01/01,192025,7681,53500,01,03,06,10,14,16,21,24,27,29,40,49,50,51,54,62,67,68,74,76,,,
賓果賓果,98000068,2009/01/01,203575,8143,104650,06,09,10,13,15,17,22,24,25,30,36,40,41,42,45,49,52,62,72,80,,,
賓果賓果,98000069,2009/01/01,198275,7931,201475,06,08,14,15,19,20,21,29,30,38,40,41,42,44,45,46,61,69,70,75,,,
賓果賓果,98000070,2009/01/01,188625,7545,101325,01,03,07,08,10,19,21,23,27,42,44,45,47,48,55,56,60,62,66,71,,,
賓果賓果,98000071,2009/01/01,193725,7749,116825,03,04,08,10,13,15,19,20,27,29,38,41,49,50,52,53,65,66,75,78,,,
賓果賓果,98000072,2009/01/01,192800,7712,115800,08,09,11,15,16,18,22,24,27,29,31,35,47,49,59,60,62,63,66,67,,,
賓果賓果,98000073,2009/01/01,191525,7661,118175,06,18,20,21,23,27,39,40,41,42,45,47,56,57,60,63,64,66,68,71,,,
賓果賓果,98000074,2009/01/01,204525,8181,122525,02,03,08,10,13,19,21,22,23,29,35,38,39,42,45,50,53,57,60,77,,,
賓果賓果,98000075,2009/01/01,218425,8737,88550,04,06,10,12,18,20,23,25,27,40,42,48,52,56,57,58,60,67,70,73,,,
賓果賓果,98000076,2009/01/01,251150,10046,106775,03,06,12,13,16,33,38,46,51,52,54,57,58,59,64,70,74,76,78,79,,,
賓果賓果,98000077,2009/01/01,220750,8830,149875,02,05,14,15,25,28,29,32,36,44,45,47,59,67,68,69,71,72,74,79,,,
賓果賓果,98000078,2009/01/01,242375,9695,151300,04,05,21,23,25,26,30,31,32,34,35,36,38,42,47,50,66,68,71,72,,,
賓果賓果,98000079,2009/01/01,242125,9685,238075,01,02,05,12,14,26,32,36,37,38,40,41,49,61,63,64,71,75,78,80,,,
賓果賓果,98000080,2009/01/01,209400,8376,81700,03,04,05,08,14,19,20,25,28,31,32,39,45,52,57,58,62,64,68,69,,,
賓果賓果,98000081,2009/01/01,200025,8001,70325,02,08,09,22,23,26,27,31,36,39,47,50,51,52,55,58,64,65,66,71,,,
賓果賓果,98000082,2009/01/01,206075,8243,112225,04,07,09,14,15,16,19,20,24,26,32,36,40,41,48,49,54,70,74,77,,,
賓果賓果,98000083,2009/01/01,204675,8187,158025,04,07,08,12,20,25,26,28,29,32,34,35,41,42,45,50,53,56,69,73,,,
賓果賓果,98000084,2009/01/01,215625,8625,63225,05,13,23,27,31,34,38,40,46,47,48,56,59,60,62,65,67,70,73,79,,,
賓果賓果,98000085,2009/01/01,222925,8917,118500,02,10,18,30,39,40,43,44,45,46,49,51,52,58,61,62,65,70,75,77,,,
