scheme,board_id,size_class,mask_ratio,mask_idx,target_number,rank,top1,top3,top5,top10,active_module_count_mean,abstain_rate,no_informative_modules_rate,score_std,final_score_std
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,41,8,0,0,0,1,4.958333333333333,0.5102880658436214,0.0,0.06150516737629545,0.06150516737629545
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,41,15,0,0,0,0,2.5833333333333335,0.7448559670781894,0.0,0.07098543855875987,0.07098543855875987
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,41,10,0,0,0,1,2.125,0.7901234567901234,0.0,0.07852045778909693,0.07852045778909693
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,41,3,0,1,1,1,9.041666666666666,0.0,0.0,0.062024960366886504,0.062024960366886504
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,41,3,0,1,1,1,9.458333333333334,0.0,0.0,0.06233291965909271,0.06233291965909271
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,43,11,0,0,0,0,8.958333333333334,0.0,0.0,0.05913120875984817,0.05913120875984817
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,43,14,0,0,0,0,4.958333333333333,0.5062240663900415,0.0,0.05728081733222646,0.05728081733222646
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,43,12,0,0,0,0,2.4166666666666665,0.7593360995850622,0.0,0.069536426733078,0.069536426733078
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,43,16,0,0,0,0,2.0,0.8008298755186722,0.0,0.06406838520028868,0.06406838520028868
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,43,19,0,0,0,0,8.958333333333334,0.0,0.0,0.060428946921030846,0.060428946921030846
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,43,11,0,0,0,0,9.458333333333334,0.0,0.0,0.05913120875984817,0.05913120875984817
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,45,5,0,0,1,1,8.958333333333334,0.0,0.0,0.05769377779384408,0.05769377779384408
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,45,8,0,0,0,1,4.916666666666667,0.5103734439834025,0.0,0.05320339431664025,0.05320339431664025
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,45,3,0,1,1,1,2.4166666666666665,0.7593360995850622,0.0,0.06568458350766389,0.06568458350766389
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,45,4,0,0,1,1,2.0,0.8008298755186722,0.0,0.054965736974912256,0.054965736974912256
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,45,13,0,0,0,0,8.958333333333334,0.0,0.0,0.060399314792931744,0.060399314792931744
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,45,5,0,0,1,1,9.458333333333334,0.0,0.0,0.05769377779384408,0.05769377779384408
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,48,3,0,1,1,1,8.958333333333334,0.0,0.0,0.05628506733822109,0.05628506733822109
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,48,5,0,0,1,1,4.833333333333333,0.5186721991701245,0.0,0.04853735294985462,0.04853735294985462
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,48,11,0,0,0,0,2.375,0.7634854771784232,0.0,0.057841320816332094,0.057841320816332094
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,48,17,0,0,0,0,1.9166666666666667,0.8091286307053942,0.0,0.05174571490119005,0.05174571490119005
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,48,2,0,1,1,1,8.958333333333334,0.0,0.0,0.062190527940116466,0.062190527940116466
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,48,3,0,1,1,1,9.458333333333334,0.0,0.0,0.05628506733822109,0.05628506733822109
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,50,6,0,0,0,1,8.958333333333334,0.0,0.0,0.056091824765638724,0.056091824765638724
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,50,8,0,0,0,1,4.833333333333333,0.5186721991701245,0.0,0.04667568545683074,0.04667568545683074
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,50,1,1,1,1,1,2.2916666666666665,0.7717842323651453,0.0,0.05587470353693823,0.05587470353693823
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,50,1,1,1,1,1,1.875,0.8132780082987552,0.0,0.05158455794087955,0.05158455794087955
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,50,11,0,0,0,0,8.958333333333334,0.0,0.0,0.06332095217807832,0.06332095217807832
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,50,6,0,0,0,1,9.458333333333334,0.0,0.0,0.05609182476563874,0.05609182476563874
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,51,20,0,0,0,0,9.0,0.0,0.0,0.05539225528204107,0.05539225528204107
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,51,22,0,0,0,0,4.833333333333333,0.5206611570247934,0.0,0.04570045035151448,0.04570045035151448
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,51,24,0,0,0,0,2.2916666666666665,0.7727272727272727,0.0,0.05733397375784157,0.05733397375784157
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,51,24,0,0,0,0,1.9583333333333333,0.8057851239669421,0.0,0.05707611770349511,0.05707611770349511
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,51,21,0,0,0,0,9.0,0.0,0.0,0.06262494043840322,0.06262494043840322
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,51,20,0,0,0,0,9.458333333333334,0.0,0.0,0.05539225528204107,0.05539225528204107
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,52,6,0,0,0,1,9.083333333333334,0.0,0.0,0.0550437968075359,0.0550437968075359
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,52,1,1,1,1,1,4.875,0.5204918032786885,0.0,0.04789037277427287,0.04789037277427287
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,52,15,0,0,0,0,2.375,0.7663934426229508,0.0,0.05962270496918736,0.05962270496918736
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,52,10,0,0,0,1,1.9583333333333333,0.8073770491803278,0.0,0.05869248122859533,0.05869248122859533
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,52,7,0,0,0,1,9.083333333333334,0.0,0.0,0.06278643416554157,0.06278643416554157
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,52,6,0,0,0,1,9.458333333333334,0.0,0.0,0.0550437968075359,0.0550437968075359
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,54,12,0,0,0,0,8.958333333333334,0.0,0.0,0.05570488839807526,0.05570488839807526
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,54,5,0,0,1,1,4.791666666666667,0.5228215767634855,0.0,0.04748049172357384,0.04748049172357384
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,54,4,0,0,1,1,2.2916666666666665,0.7717842323651453,0.0,0.06087943213091505,0.06087943213091505
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,54,7,0,0,0,1,1.8333333333333333,0.8174273858921162,0.0,0.04939713011164451,0.04939713011164451
