case_id,group_id,row,col,baseline_score,baseline_rank,score_gap_to_top1,score_gap_to_top3,candidate_count,row_norm,col_norm,dist_to_center,is_border,is_corner,module_consensus_top1,module_consensus_top3,module_consensus_top5,label,module_score_logic_rule,module_rank_logic_rule,module_score_pattern_model,module_rank_pattern_model,module_score_prior_model,module_rank_prior_model
default_1,default_1,2,5,0.232216,24,0.554797,0.398953,40,0.25,0.5,0.3,0,0,0,1,2,0,0.018852,23,0.204545,5,0.714286,3
default_1,default_1,4,1,0.232058,25,0.554955,0.399111,40,0.5,0.1,0.5,1,0,0,0,2,0,0.002223,32,0.363636,4,0.428571,5
default_1,default_1,7,6,0.23036,26,0.556653,0.40080899999999997,40,0.875,0.6,0.3,0,0,0,1,1,0,0.109666,12,0.109091,6,0.714286,3
default_1,default_1,5,7,0.216196,27,0.5708169999999999,0.414973,40,0.625,0.7,0.2,0,0,0,1,1,0,0.002826,31,0.109091,6,0.857143,2
default_1,default_1,3,7,0.194971,28,0.592042,0.436198,40,0.375,0.7,0.3,0,0,0,1,1,0,0.130285,10,0.0,8,0.714286,3
default_1,default_1,3,5,0.194237,29,0.592776,0.436932,40,0.375,0.5,0.2,0,0,0,1,1,0,0.057021,16,0.0,8,0.857143,2
default_1,default_1,7,4,0.190709,30,0.596304,0.44045999999999996,40,0.875,0.4,0.4,0,0,0,0,1,0,0.081967,13,0.109091,6,0.571429,4
default_1,default_1,5,4,0.187822,31,0.599191,0.443347,40,0.625,0.4,0.2,0,0,0,1,1,0,0.040984,18,0.0,8,0.857143,2
default_1,default_1,6,3,0.184581,32,0.602432,0.446588,40,0.75,0.3,0.4,0,0,0,0,1,0,0.130285,10,0.045455,7,0.571429,4
default_1,default_1,7,3,0.182763,33,0.60425,0.44840599999999997,40,0.875,0.3,0.5,0,0,0,0,2,0,0.242623,4,0.0,8,0.428571,5
default_1,default_1,1,9,0.182097,34,0.604916,0.44907199999999997,40,0.125,0.9,0.7,1,0,0,0,1,0,0.020177,22,0.363636,4,0.142857,7
default_1,default_1,5,1,0.169718,35,0.6172949999999999,0.46145099999999994,40,0.625,0.1,0.5,1,0,0,0,2,1,0.005464,28,0.204545,5,0.428571,5
default_1,default_1,3,2,0.168422,36,0.618591,0.462747,40,0.375,0.2,0.5,0,0,0,0,2,0,0.002223,32,0.204545,5,0.428571,5
default_1,default_1,2,10,0.123366,37,0.663647,0.507803,40,0.25,1.0,0.7,1,0,0,0,1,0,0.032442,20,0.204545,5,0.142857,7
default_1,default_1,6,1,0.111271,38,0.675742,0.519898,40,0.75,0.1,0.6,1,0,0,0,0,0,0.02623,21,0.109091,6,0.285714,6
default_1,default_1,3,9,0.103778,39,0.6832349999999999,0.5273909999999999,40,0.375,0.9,0.5,0,0,0,0,1,0,0.045159,17,0.0,8,0.428571,5
default_1,default_1,8,1,0.081818,40,0.705195,0.5493509999999999,40,1.0,0.1,0.8,1,1,0,0,1,0,0.0,33,0.204545,5,0.0,8
default_2,default_2,4,6,0.745455,1,0.0,-0.12458499999999995,40,0.5,0.6,0.1,0,0,2,3,3,0,1.0,1,0.363636,3,1.0,1
default_2,default_2,5,7,0.716883,2,0.02857199999999993,-0.09601300000000001,40,0.625,0.7,0.2,0,0,1,3,3,0,1.0,1,0.363636,3,0.857143,2
default_2,default_2,5,6,0.62087,3,0.12458499999999995,0.0,40,0.625,0.6,0.1,0,0,2,2,2,0,0.052174,21,1.0,1,1.0,1
default_2,default_2,8,2,0.574026,4,0.17142899999999994,0.046844,40,1.0,0.2,0.7,1,0,1,2,2,0,1.0,1,0.363636,3,0.142857,7
default_2,default_2,4,5,0.514763,5,0.230692,0.10610700000000006,40,0.5,0.5,0.1,0,0,1,2,2,0,0.10509,11,0.681818,2,1.0,1
default_2,default_2,5,5,0.509394,6,0.23606099999999997,0.11147600000000002,40,0.625,0.5,0.1,0,0,1,2,2,0,0.091667,13,0.681818,2,1.0,1
default_2,default_2,3,10,0.424638,7,0.32081699999999996,0.19623200000000002,40,0.375,1.0,0.6,1,0,0,2,2,0,0.555102,2,0.363636,3,0.285714,6
