variant,size_class,board_id,target_row,target_col,target_number,rank,top1_hit,top3_hit,top5_hit,top10_hit,spatial_applied,spatial_affected_count,spatial_total_penalty,topk_max_cluster_size,topk_adjacent_pair_rate
baseline,8x10,8x10_1,5,2,11,12,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,8x10,8x10_1,5,5,19,37,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,8x10,8x10_1,3,7,75,16,0,0,0,0,0,0,0.0,8.0,0.2
baseline,8x10,8x10_1,1,8,76,24,0,0,0,0,0,0,0.0,8.0,0.2
baseline,8x10,8x10_1,2,1,6,3,0,1,1,1,0,0,0.0,4.0,0.15555555555555556
baseline,8x10,8x10_1,4,6,8,13,0,0,0,0,0,0,0.0,4.0,0.13333333333333333
baseline,8x10,8x10_1,4,3,26,9,0,0,0,1,0,0,0.0,3.0,0.08888888888888889
baseline,8x10,8x10_1,6,3,78,28,0,0,0,0,0,0,0.0,8.0,0.2
baseline,8x10,8x10_1,2,9,49,4,0,0,1,1,0,0,0.0,4.0,0.17777777777777778
baseline,8x10,8x10_1,3,1,3,2,0,1,1,1,0,0,0.0,3.0,0.1111111111111111
baseline,8x10,8x10_1,4,9,77,10,0,0,0,1,0,0,0.0,8.0,0.2
baseline,8x10,8x10_1,8,7,12,34,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,8x10,8x10_1,2,10,15,24,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,8x10,8x10_1,6,10,73,8,0,0,0,1,0,0,0.0,8.0,0.2
baseline,8x10,8x10_1,5,7,13,13,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,8x10,8x10_1,6,2,43,14,0,0,0,0,0,0,0.0,4.0,0.1111111111111111
baseline,8x10,8x10_1,8,9,22,35,0,0,0,0,0,0,0.0,3.0,0.06666666666666667
baseline,8x10,8x10_1,7,8,2,32,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,8x10,8x10_1,3,5,53,19,0,0,0,0,0,0,0.0,5.0,0.1111111111111111
baseline,8x10,8x10_1,1,4,1,5,0,0,1,1,0,0,0.0,3.0,0.1111111111111111
baseline,8x10,8x10_1,7,5,64,12,0,0,0,0,0,0,0.0,6.0,0.2
baseline,8x10,8x10_1,7,9,24,32,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,8x10,8x10_1,2,6,60,20,0,0,0,0,0,0,0.0,9.0,0.2
baseline,8x10,8x10_1,7,3,27,27,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,8x10,8x10_1,8,6,32,33,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,8x10,8x10_1,1,1,20,5,0,0,1,1,0,0,0.0,3.0,0.08888888888888889
baseline,8x10,8x10_1,2,4,71,29,0,0,0,0,0,0,0.0,8.0,0.2
