遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號,猜大小,猜單雙
賓果賓果,115000109,2026/01/01,325900,13036,173400,1,6,7,9,18,20,24,27,32,34,41,45,46,61,63,65,69,71,72,73,63,－,－
賓果賓果,115000110,2026/01/01,336500,13460,111025,1,6,11,13,14,17,22,23,35,36,40,41,50,53,54,62,73,74,75,76,11,－,－
賓果賓果,115000111,2026/01/01,338275,13531,146325,1,3,5,10,12,17,19,40,41,42,43,46,49,58,61,66,74,77,78,80,74,－,－
賓果賓果,115000112,2026/01/01,373375,14935,81875,6,14,17,22,29,31,35,37,38,40,47,52,54,55,59,61,69,73,76,80,14,－,－
賓果賓果,115000113,2026/01/01,375875,15035,99725,1,4,5,19,21,29,34,40,42,43,45,49,52,59,61,62,63,64,72,80,63,－,－
賓果賓果,115000114,2026/01/01,381100,15244,274000,3,4,5,9,19,21,22,25,31,33,34,45,47,55,57,63,70,71,73,76,47,－,單
賓果賓果,115000115,2026/01/01,368925,14757,288700,2,4,16,21,23,34,38,44,47,52,53,54,56,59,62,63,67,68,69,77,16,大,－
賓果賓果,115000116,2026/01/01,368250,14730,407550,9,13,16,18,22,33,39,41,44,47,52,64,65,68,69,74,76,77,78,80,09,大,－
賓果賓果,115000117,2026/01/01,346225,13849,146950,8,9,18,20,24,27,30,32,36,39,41,44,47,48,49,60,64,65,76,79,30,－,－
賓果賓果,115000118,2026/01/01,330875,13235,244600,1,2,4,10,21,23,25,26,30,31,34,40,48,50,56,67,70,75,77,80,10,－,－
賓果賓果,115000119,2026/01/01,339150,13566,136275,2,5,6,8,11,12,15,18,32,35,36,47,49,50,53,63,64,74,75,79,74,－,－
賓果賓果,115000120,2026/01/01,341400,13656,292525,3,4,14,15,21,23,25,27,32,34,35,38,41,42,45,53,55,63,64,72,03,－,－
賓果賓果,115000121,2026/01/01,334100,13364,164325,2,21,30,32,33,34,37,42,44,49,53,56,57,60,63,67,68,73,75,79,49,大,－
賓果賓果,115000122,2026/01/01,337225,13489,178100,9,13,17,18,24,32,33,35,36,38,44,52,53,54,57,63,65,69,75,78,36,－,－
賓果賓果,115000123,2026/01/01,319450,12778,157950,4,6,12,14,15,16,19,26,28,29,48,50,53,59,60,61,64,65,66,78,29,－,雙
賓果賓果,115000124,2026/01/01,313775,12551,152175,3,5,8,16,18,25,29,31,32,35,41,42,49,56,58,61,64,65,67,72,32,－,－
賓果賓果,115000125,2026/01/01,323700,12948,162375,5,7,15,19,21,23,25,28,29,38,45,50,56,62,63,69,71,73,77,79,69,－,單
賓果賓果,115000126,2026/01/01,315575,12623,297450,3,7,11,13,15,16,20,25,26,27,31,36,37,39,47,61,63,67,69,72,07,小,單
賓果賓果,115000127,2026/01/01,306575,12263,134600,2,7,8,11,13,16,19,28,31,34,43,44,45,52,57,62,64,67,72,79,62,－,－
賓果賓果,115000128,2026/01/01,310250,12410,87675,4,12,14,16,19,20,22,24,29,36,40,45,50,52,53,56,67,71,77,79,24,－,－
賓果賓果,115000129,2026/01/01,321400,12856,156950,5,11,12,17,18,23,28,29,30,31,34,40,43,47,51,61,68,70,77,79,18,－,－
賓果賓果,115000130,2026/01/01,306925,12277,138075,5,10,13,14,19,25,28,30,31,38,44,47,52,53,55,56,61,64,76,80,14,－,－
賓果賓果,115000131,2026/01/01,313625,12545,134725,2,4,15,18,19,22,32,37,38,40,45,47,48,51,58,64,69,70,71,76,04,－,－
賓果賓果,115000132,2026/01/01,321975,12879,101350,3,5,10,13,17,24,29,32,34,45,51,61,63,67,68,72,73,74,79,80,10,－,－
賓果賓果,115000133,2026/01/01,322450,12898,223150,3,4,5,7,14,20,24,25,27,31,36,38,39,40,41,46,48,49,68,78,05,小,－
賓果賓果,115000134,2026/01/01,295275,11811,182775,1,8,9,13,14,16,19,22,23,31,38,42,45,50,51,56,57,59,64,76,51,－,－
賓果賓果,115000135,2026/01/01,294750,11790,98250,1,3,7,14,15,18,20,27,29,30,33,45,47,48,56,61,65,66,71,78,03,－,－
賓果賓果,115000136,2026/01/01,290750,11630,141200,2,3,6,7,14,15,17,19,20,23,34,38,42,47,53,58,64,68,70,80,23,－,－
賓果賓果,115000137,2026/01/01,291625,11665,133300,5,7,11,12,15,16,20,28,31,42,45,49,51,56,57,64,68,72,77,80,80,－,－
賓果賓果,115000138,2026/01/01,288175,11527,215625,6,12,14,20,31,36,43,45,46,52,56,58,59,67,70,71,75,76,78,79,75,大,－
賓果賓果,115000139,2026/01/01,293375,11735,103700,2,4,7,14,16,19,23,24,25,38,41,43,55,60,62,63,66,72,75,77,66,－,－
賓果賓果,115000140,2026/01/01,294125,11765,201800,1,5,16,18,23,24,32,34,35,36,37,39,42,46,48,49,55,57,68,70,34,－,－
賓果賓果,115000141,2026/01/01,292075,11683,118100,1,10,11,23,24,26,28,29,30,33,36,37,50,58,60,61,64,66,71,73,24,－,－
賓果賓果,115000142,2026/01/01,313975,12559,151500,4,6,20,24,25,26,28,30,36,39,44,46,48,51,61,64,67,72,75,77,51,－,雙
賓果賓果,115000143,2026/01/01,308925,12357,153725,2,11,15,17,21,27,28,32,33,34,37,39,42,45,49,62,63,66,77,78,21,－,－
賓果賓果,115000144,2026/01/01,311800,12472,179100,6,12,14,16,19,20,21,22,28,35,42,46,47,61,63,64,71,72,75,76,12,－,－
賓果賓果,115000145,2026/01/01,305200,12208,98750,1,3,7,15,20,22,23,26,32,35,39,40,49,55,57,62,68,69,70,73,70,－,－
賓果賓果,115000146,2026/01/01,296375,11855,151275,4,6,9,15,17,18,20,25,26,29,45,47,53,55,60,62,63,65,66,71,55,－,－
賓果賓果,115000147,2026/01/01,284375,11375,146200,13,20,22,23,25,26,27,30,34,35,44,46,51,57,58,59,62,63,67,73,67,－,－
賓果賓果,115000148,2026/01/01,286275,11451,99225,7,8,13,15,21,28,31,39,41,42,44,51,57,58,62,63,67,74,75,77,39,－,單
賓果賓果,115000149,2026/01/01,287250,11490,165725,1,2,4,5,6,11,18,22,23,31,35,39,56,57,59,62,65,66,72,76,59,－,－
賓果賓果,115000150,2026/01/01,277025,11081,100825,3,6,9,13,17,21,28,29,34,35,40,49,55,61,62,63,67,74,75,77,29,－,單
賓果賓果,115000151,2026/01/01,285975,11439,359400,4,7,12,13,16,26,28,29,30,34,36,37,38,39,44,46,49,52,65,70,36,小,雙
賓果賓果,115000152,2026/01/01,278500,11140,149175,8,15,18,19,20,28,32,34,38,40,43,46,49,50,52,60,62,67,77,79,18,－,雙
賓果賓果,115000153,2026/01/01,287100,11484,266775,2,4,10,12,19,20,21,22,23,35,38,39,40,42,45,55,59,66,70,73,02,小,－
賓果賓果,115000154,2026/01/01,295250,11810,149550,2,10,11,12,17,20,21,26,27,36,41,44,46,49,50,53,65,75,78,80,80,－,－
賓果賓果,115000155,2026/01/01,296075,11843,157525,2,4,7,12,18,20,22,28,31,34,35,40,52,55,57,58,69,70,74,80,02,－,雙
賓果賓果,115000156,2026/01/01,305125,12205,115100,2,3,6,10,15,22,31,36,37,39,43,46,52,54,67,70,73,75,77,79,70,－,－
賓果賓果,115000157,2026/01/01,277000,11080,205700,1,4,10,11,17,18,19,27,38,40,47,50,51,57,59,67,69,73,77,79,38,－,單
賓果賓果,115000158,2026/01/01,275725,11029,85600,6,13,15,17,21,22,24,31,34,36,40,42,43,48,56,60,62,64,67,74,67,－,雙
賓果賓果,115000159,2026/01/01,273950,10958,117725,3,8,9,13,14,15,18,21,29,30,31,37,54,55,59,61,63,66,68,75,13,－,單
賓果賓果,115000160,2026/01/01,253375,10135,94350,1,2,9,10,11,16,25,28,31,33,36,38,41,43,44,46,49,50,65,69,46,－,－
賓果賓果,115000161,2026/01/01,251350,10054,90725,6,13,15,18,22,27,31,36,39,40,46,47,50,56,57,58,61,66,73,76,40,－,－
賓果賓果,115000162,2026/01/01,245300,9812,113600,1,4,6,9,12,20,24,30,36,42,46,52,55,56,62,65,66,70,72,78,62,－,雙
賓果賓果,115000163,2026/01/01,217325,8693,130050,9,11,15,18,21,23,37,40,43,45,46,47,57,60,70,72,73,74,79,80,80,－,－
賓果賓果,115000164,2026/01/01,226950,9078,75625,4,11,13,20,23,29,31,36,37,40,44,47,50,58,61,62,67,68,70,77,47,－,－
賓果賓果,115000165,2026/01/01,217275,8691,78675,8,9,10,16,23,25,26,30,33,40,49,52,55,59,62,63,67,72,75,80,72,－,－
賓果賓果,115000166,2026/01/01,206600,8264,70700,3,6,8,15,16,19,29,33,38,39,43,44,47,50,52,53,58,60,72,79,79,－,－
賓果賓果,115000167,2026/01/01,204475,8179,146950,1,3,4,5,8,9,10,12,20,23,27,39,41,50,51,53,63,76,78,79,41,－,－
賓果賓果,115000168,2026/01/01,211150,8446,132475,5,7,10,11,20,26,33,35,37,38,39,40,48,49,50,54,63,66,68,76,40,－,－
賓果賓果,115000169,2026/01/01,188900,7556,58400,9,11,13,18,20,24,29,36,37,39,43,46,52,58,61,62,67,74,79,80,67,－,－
賓果賓果,115000170,2026/01/01,178325,7133,105075,3,5,6,11,13,16,17,23,24,25,28,35,36,41,45,51,56,76,78,80,24,小,－
賓果賓果,115000171,2026/01/01,187850,7514,75200,1,2,4,6,9,11,23,35,40,42,48,52,53,54,56,57,62,66,69,78,62,－,－
賓果賓果,115000172,2026/01/01,182750,7310,97175,2,7,18,26,28,32,33,39,41,44,48,53,57,61,62,63,66,69,72,73,62,－,－
賓果賓果,115000173,2026/01/01,193325,7733,194900,1,7,11,14,19,22,23,25,26,27,31,32,40,44,45,47,51,52,55,73,01,小,單
賓果賓果,115000174,2026/01/01,189575,7583,86725,2,5,6,8,9,13,15,19,24,26,29,33,36,41,47,48,52,54,55,72,48,小,－
賓果賓果,115000175,2026/01/01,193500,7740,135500,11,22,23,24,27,33,39,43,44,46,47,49,50,51,53,60,69,72,76,79,69,大,－
賓果賓果,115000176,2026/01/01,196350,7854,105075,3,18,24,27,33,38,42,43,45,49,52,54,55,61,64,67,69,73,77,80,54,大,－
賓果賓果,115000177,2026/01/01,191650,7666,36250,2,9,10,14,15,26,27,31,34,46,48,50,51,52,57,59,62,65,66,78,48,－,－
賓果賓果,115000178,2026/01/01,186550,7462,86350,3,5,10,13,20,22,26,35,46,49,54,58,66,68,69,73,74,77,78,79,66,－,－
賓果賓果,115000179,2026/01/01,174875,6995,95825,11,15,17,25,28,30,37,38,39,44,45,47,49,52,53,57,59,77,79,80,59,－,單
賓果賓果,115000180,2026/01/01,178600,7144,337875,2,4,8,14,18,21,22,23,28,30,31,34,35,42,43,44,46,62,66,67,23,小,雙
賓果賓果,115000181,2026/01/01,179100,7164,50250,3,5,9,14,21,27,30,34,36,44,45,48,53,56,61,65,66,73,74,78,73,－,－
賓果賓果,115000182,2026/01/01,183375,7335,47925,1,2,3,16,20,23,25,27,29,30,41,42,52,53,55,57,62,66,68,79,20,－,－
賓果賓果,115000183,2026/01/01,163975,6559,51725,3,5,7,16,18,19,20,24,26,30,34,35,41,47,53,55,59,64,67,68,05,－,－
賓果賓果,115000184,2026/01/01,166625,6665,56275,5,10,26,32,33,35,38,39,46,49,50,54,57,58,60,61,62,73,74,78,35,－,－
賓果賓果,115000185,2026/01/01,177300,7092,72350,4,5,6,9,10,12,19,20,25,28,31,34,41,45,49,52,53,56,61,68,45,－,－
